id,name,releasedate,duration,directorid,producerid,writerid,imdb,budget,collection,certification,score
tt1517260,"The Host","19 April 2013 ","2h 5min",/name/nm0629272?ref_=tt_ov_dr,/company/co0192912?ref_=cons_tt_dt_co_1,/name/nm0629272?ref_=tt_ov_wr,5.9,"$40,000,000","$10,600,112",A,0.0000
tt1517489,"Spy Kids: All the Time in the World in 4D","19 August 2011 ","1h 29min",/name/nm0001675?ref_=tt_ov_dr,/company/co0019626?ref_=cons_tt_dt_co_1,/name/nm0001675?ref_=tt_ov_wr,3.5,"$27,000,000","$11,644,672","Rated PG for mild action and rude humor.",0.0000
tt1528100,"Exodus: Gods and Kings","5 December 2014 ","2h 30min",/name/nm0000631?ref_=tt_ov_dr,/company/co0286257?ref_=cons_tt_dt_co_1,/name/nm0177836?ref_=tt_ov_wr,6.0,"$140,000,000","$24,115,934","Rated PG-13 for violence including battle sequences and intense images",0.0000
tt1535108,Elysium,"27 September 2013 ","1h 49min",/name/nm0088955?ref_=tt_ov_dr,/company/co0005883?ref_=cons_tt_dt_co_1,/name/nm0088955?ref_=tt_ov_wr,6.6,"$115,000,000","$29,807,393",A,0.0000
tt1535109,"Captain Phillips","18 October 2013 ","2h 14min",/name/nm0339030?ref_=tt_ov_dr,/company/co0093765?ref_=cons_tt_dt_co_1,/name/nm0712753?ref_=tt_ov_wr,7.8,"$55,000,000","$26,000,000",UA,0.0000
tt1535438,"Hope Springs","8 August 2012 ","1h 40min",/name/nm0291205?ref_=tt_ov_dr,/company/co0071509?ref_=cons_tt_dt_co_1,/name/nm0961827?ref_=tt_ov_wr,6.3,"$30,000,000","$14,650,121","Rated PG-13 for mature thematic content involving sexuality",0.0000
tt1536044,"Paranormal Activity 2","3 December 2010 ","1h 31min",/name/nm0931095?ref_=tt_ov_dr,/company/co0023400?ref_=cons_tt_dt_co_1,/name/nm0675219?ref_=tt_ov_wr,5.7,"$3,000,000","$40,678,424","Rated R for some language and brief violent material",0.0000
tt1538403,"The Mortal Instruments: City of Bones","30 August 2013 ","2h 10min",/name/nm0958969?ref_=tt_ov_dr,/company/co0002257?ref_=cons_tt_dt_co_1,/name/nm0692942?ref_=tt_ov_wr,5.9,"$60,000,000","$9,336,957",A,0.0000
tt1547234,"Premium Rush","19 October 2012 ","1h 31min",/name/nm0462895?ref_=tt_ov_dr,/company/co0071509?ref_=cons_tt_dt_co_1,/name/nm0462895?ref_=tt_ov_wr,6.5,"$35,000,000","$6,300,000",UA,0.0000
tt1564349,"Dolphin Tale","4 November 2011 ","1h 53min",/name/nm0001747?ref_=tt_ov_dr,/company/co0054452?ref_=cons_tt_dt_co_1,/name/nm0418321?ref_=tt_ov_wr,6.9,"$37,000,000","$19,152,401",U,0.0000
tt1568338,"Man on a Ledge","3 February 2012 ","1h 42min",/name/nm1300606?ref_=tt_ov_dr,/company/co0046206?ref_=cons_tt_dt_co_1,/name/nm0271854?ref_=tt_ov_wr,6.6,"$42,000,000","$8,001,932",UA,0.0000
