movieid,actorid,rank
tt4799050,/name/nm0424060?ref_=tt_ov_st_sm,1
tt4799050,/name/nm0571952?ref_=tt_ov_st_sm,2
tt4799050,/name/nm2368789?ref_=tt_ov_st_sm,3
tt4131800,/name/nm1289434?ref_=tt_ov_st_sm,1
tt4131800,/name/nm0155693?ref_=tt_ov_st_sm,2
tt4131800,/name/nm0000630?ref_=tt_ov_st_sm,3
tt3521126,/name/nm0290556?ref_=tt_ov_st_sm,1
tt3521126,/name/nm2002649?ref_=tt_ov_st_sm,2
tt3521126,/name/nm0310966?ref_=tt_ov_st_sm,3
tt2072233,/name/nm0004937?ref_=tt_ov_st_sm,1
tt2072233,/name/nm1157358?ref_=tt_ov_st_sm,2
tt2072233,/name/nm0000551?ref_=tt_ov_st_sm,3
tt6003368,/name/nm6099602?ref_=tt_ov_st_sm,1
tt6003368,/name/nm0000224?ref_=tt_ov_st_sm,2
tt6003368,/name/nm0779866?ref_=tt_ov_st_sm,3
tt0493405,/name/nm0671567?ref_=tt_ov_st_sm,1
tt0493405,/name/nm1009277?ref_=tt_ov_st_sm,2
tt0493405,/name/nm0000352?ref_=tt_ov_st_sm,3
tt3748528,/name/nm0428065?ref_=tt_ov_st_sm,1
tt3748528,/name/nm0526019?ref_=tt_ov_st_sm,2
tt3748528,/name/nm0876138?ref_=tt_ov_st_sm,3
tt2277860,/name/nm0001122?ref_=tt_ov_st_sm,1
tt2277860,/name/nm0000983?ref_=tt_ov_st_sm,2
tt2277860,/name/nm0642145?ref_=tt_ov_st_sm,3
tt3498820,/name/nm0262635?ref_=tt_ov_st_sm,1
tt3498820,/name/nm0000375?ref_=tt_ov_st_sm,2
tt3498820,/name/nm0424060?ref_=tt_ov_st_sm,3
tt2709768,/name/nm0127373?ref_=tt_ov_st_sm,1
tt2709768,/name/nm0832314?ref_=tt_ov_st_sm,2
tt2709768,/name/nm0366389?ref_=tt_ov_st_sm,3
tt1431045,/name/nm0005351?ref_=tt_ov_st_sm,1
tt1431045,/name/nm1072555?ref_=tt_ov_st_sm,2
tt1431045,/name/nm2554352?ref_=tt_ov_st_sm,3
tt2948356,/name/nm0329481?ref_=tt_ov_st_sm,1
tt2948356,/name/nm0000867?ref_=tt_ov_st_sm,2
tt2948356,/name/nm0252961?ref_=tt_ov_st_sm,3
tt2975590,/name/nm0000255?ref_=tt_ov_st_sm,1
tt2975590,/name/nm0147147?ref_=tt_ov_st_sm,2
tt2975590,/name/nm0010736?ref_=tt_ov_st_sm,3
tt1386697,/name/nm0000226?ref_=tt_ov_st_sm,1
tt1386697,/name/nm0001467?ref_=tt_ov_st_sm,2
tt1386697,/name/nm3053338?ref_=tt_ov_st_sm,3
tt3470600,/name/nm0000190?ref_=tt_ov_st_sm,1
tt3470600,/name/nm0000702?ref_=tt_ov_st_sm,2
tt3470600,/name/nm0532235?ref_=tt_ov_st_sm,3
tt3521164,/name/nm7635388?ref_=tt_ov_st_sm,1
tt3521164,/name/nm0425005?ref_=tt_ov_st_sm,2
tt3521164,/name/nm1344302?ref_=tt_ov_st_sm,3
tt3183660,/name/nm1519666?ref_=tt_ov_st_sm,1
tt3183660,/name/nm2239702?ref_=tt_ov_st_sm,2
